MONTH,PSCC2022,COMMODITY_DESCRIPTION,UNIT,COUNTRY CODE,COUNTRY OF DESTINATION,GROSS KILO (in kg),QUANTITY (various),FREE_ON_BOARD,INSURANCE (in USD),FREIGHT (in USD)
01,0306212000,"- - - Other, live",Gross kg,484,MACAU,"15,924","15,924","59,000",0,0
01,0306241001,Mud crab (Scylla serrata),Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"152,930","152,930","747,416",2,0
01,0306241001,Mud crab (Scylla serrata),Gross kg,168,TAIWAN (REP. OF CHINA),"107,800","107,800","559,100",0,0
01,0306241001,Mud crab (Scylla serrata),Gross kg,364,"HONG KONG, CHINA","179,505","179,505","896,010",0,0
01,0306241001,Mud crab (Scylla serrata),Gross kg,412,JAPAN,500,500,700,0,0
01,0306241001,Mud crab (Scylla serrata),Gross kg,484,MACAU,"49,500","49,500","141,175",0,0
01,0306241001,Mud crab (Scylla serrata),Gross kg,720,SINGAPORE,"19,100","19,100","149,786",0,0
01,0306241001,Mud crab (Scylla serrata),Gross kg,780,THAILAND,700,700,"3,500",0,0
01,0306241009,Other,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"11,900","11,900","64,500",0,0
01,0306241009,Other,Gross kg,364,"HONG KONG, CHINA","65,078","65,078","161,946",0,0
01,0306241009,Other,Gross kg,412,JAPAN,5,5,94,0,0
01,0306241009,Other,Gross kg,484,MACAU,"11,599","11,599","37,750",0,0
01,0306241009,Other,Gross kg,720,SINGAPORE,"12,000","12,000","68,000",0,0
01,0306242000,- - - Fresh or chilled,Gross kg,868,GUAM,"1,257","1,257","2,575",0,0
01,0306264100,- - - - In airtight containers,Gross kg,412,JAPAN,"2,981","2,981","37,115",0,0
01,0306269100,- - - - In airtight containers,Gross kg,860,UNITED STATES OF AMERICA,850,850,884,0,0
01,0306272900,- - - - Other,Gross kg,108,BRUNEI DARUSSALAM,217,217,700,0,0
01,0306272900,- - - - Other,Gross kg,364,"HONG KONG, CHINA","23,299","23,299","66,410",0,0
01,0306272900,- - - - Other,Gross kg,484,MACAU,"7,501","7,501","23,000",0,0
01,0306273100,- - - - Giant tiger prawns (Penaeus monodon),Gross kg,168,TAIWAN (REP. OF CHINA),300,300,"1,600",0,0
01,0306273100,- - - - Giant tiger prawns (Penaeus monodon),Gross kg,364,"HONG KONG, CHINA",90,90,"1,240",0,0
01,0306273100,- - - - Giant tiger prawns (Penaeus monodon),Gross kg,626,"PALAU, REP. OF",300,300,"2,100",0,0
01,0306273100,- - - - Giant tiger prawns (Penaeus monodon),Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","19,500","19,500","195,000",0,0
01,0306273900,- - - - Other,Gross kg,364,"HONG KONG, CHINA","3,200","3,200","7,500",0,0
01,0306273900,- - - - Other,Gross kg,860,UNITED STATES OF AMERICA,"8,700","8,700","118,704",0,0
01,0306273900,- - - - Other,Gross kg,868,GUAM,606,606,"1,600",0,0
01,0306291000,- - - Live ,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"25,900","25,900","163,500",0,0
01,0306291000,- - - Live ,Gross kg,168,TAIWAN (REP. OF CHINA),"10,500","10,500","68,400",0,0
01,0306291000,- - - Live ,Gross kg,364,"HONG KONG, CHINA","32,199","32,199","114,251",0,0
01,0306291000,- - - Live ,Gross kg,464,LIBERIA,231,231,"1,200",0,0
01,0306291000,- - - Live ,Gross kg,484,MACAU,"6,679","6,679","23,200",0,0
01,0307291000,- - - Frozen,Gross kg,168,TAIWAN (REP. OF CHINA),"3,520","3,520","14,850",0,0
01,0307291000,- - - Frozen,Gross kg,860,UNITED STATES OF AMERICA,"10,377","10,377","82,743",0,0
01,0307412000,- - - Fresh or chilled,Gross kg,412,JAPAN,"4,000","4,000","53,612",0,0
01,0307412000,- - - Fresh or chilled,Gross kg,868,GUAM,940,940,"2,120",0,0
01,0307491000,- - - Frozen,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"80,616","80,616","395,991",0,0
01,0307491000,- - - Frozen,Gross kg,168,TAIWAN (REP. OF CHINA),"236,593","236,593","516,542",0,0
01,0307491000,- - - Frozen,Gross kg,364,"HONG KONG, CHINA","91,102","91,102","389,027",0,0
01,0307491000,- - - Frozen,Gross kg,412,JAPAN,"19,130","19,130","143,187",0,0
01,0307491000,- - - Frozen,Gross kg,440,REPUBLIC OF KOREA,"4,495","4,495","27,039",0,0
01,0307491000,- - - Frozen,Gross kg,892,VIETNAM,"12,000","12,000","100,000",0,0
01,0307512000,- - - Fresh or chilled,Gross kg,440,REPUBLIC OF KOREA,"2,000","2,000","17,200",0,0
01,0307512000,- - - Fresh or chilled,Gross kg,452,LEBANON,"11,024","11,024","36,172",0,0
01,0307591000,- - - Frozen,Gross kg,128,CANADA,"21,294","21,294","65,466",0,0
01,0307591000,- - - Frozen,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"25,305","25,305","51,815",0,0
01,0307591000,- - - Frozen,Gross kg,168,TAIWAN (REP. OF CHINA),"1,491","1,491","2,840",0,0
01,0307591000,- - - Frozen,Gross kg,408,"JAMAICA (EXCLUDES CAYMAN IS.,TURKS,CAICOS)","23,000","23,000","120,000",0,0
01,0307591000,- - - Frozen,Gross kg,412,JAPAN,"8,200","8,200","45,000",0,0
01,0307591000,- - - Frozen,Gross kg,440,REPUBLIC OF KOREA,"13,135","13,135","87,938",0,0
01,0307591000,- - - Frozen,Gross kg,576,NETHERLANDS,"11,980","11,980","33,481",0,0
01,0307591000,- - - Frozen,Gross kg,660,PUERTO RICO,"23,000","23,000","110,000",0,0
01,0307591000,- - - Frozen,Gross kg,780,THAILAND,"21,401","21,401","106,006",0,0
01,0307591000,- - - Frozen,Gross kg,860,UNITED STATES OF AMERICA,"293,264","293,264","1,334,387",0,0
01,0307711004,Other Clams,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"2,000","2,000","4,200",0,0
01,0307711004,Other Clams,Gross kg,168,TAIWAN (REP. OF CHINA),"73,000","73,000","129,200",0,0
01,0307711004,Other Clams,Gross kg,364,"HONG KONG, CHINA","91,555","91,555","223,180",0,0
01,0307711004,Other Clams,Gross kg,484,MACAU,"2,100","2,100","4,500",0,0
01,0307791009,Other,Gross kg,440,REPUBLIC OF KOREA,"9,800","9,800","19,600",0,0
01,0307891000,- - - Frozen,Gross kg,440,REPUBLIC OF KOREA,"33,736","33,736","366,321",0,0
01,0307991000,- - -  Frozen,Gross kg,412,JAPAN,"2,100","2,100","20,000",0,0
01,0308191000,- - -  Frozen,Gross kg,364,"HONG KONG, CHINA",550,550,"1,620",0,0
01,0308191000,- - -  Frozen,Gross kg,500,MALAYSIA,200,200,750,0,0
01,0308191000,- - -  Frozen,Gross kg,720,SINGAPORE,"1,200","1,200","5,500",0,0
01,0308192000,"- - -  Dried, salted or in brine",Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"15,500","15,500","225,000",0,0
01,0308192000,"- - -  Dried, salted or in brine",Gross kg,364,"HONG KONG, CHINA",505,505,"32,500",0,0
01,0308192000,"- - -  Dried, salted or in brine",Gross kg,440,REPUBLIC OF KOREA,"2,973","2,973","186,558",0,0
01,0308192000,"- - -  Dried, salted or in brine",Gross kg,500,MALAYSIA,176,176,"13,089",0,0
01,0308192000,"- - -  Dried, salted or in brine",Gross kg,720,SINGAPORE,"1,773","1,773","56,340",0,0
01,0308192000,"- - -  Dried, salted or in brine",Gross kg,892,VIETNAM,"12,360","12,360","66,000",0,0
01,0401101000,- - In liquid form,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.",234,234,451,0,0
01,0401409000,- - Other,Gross kg,036,AUSTRALIA,"50,774","50,774","139,996",0,0
01,0402292000,- - - In containers of a gross weight of 20 kg or more,Gross kg,500,MALAYSIA,"677,340","677,340","1,864,455",0,0
01,0402299000,- - - Other,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","4,397","4,397","8,457",0,0
01,0402910001,Evaporated full cream milk,Gross kg,844,QATAR,101,101,211,0,0
01,0402990003,Cream,Gross kg,036,AUSTRALIA,"16,245","16,245","22,846",0,0
01,0402990003,Cream,Gross kg,128,CANADA,"231,258","231,258","125,104",0,0
01,0402990003,Cream,Gross kg,380,INDONESIA,"26,390","26,390","13,000",0,0
01,0402990003,Cream,Gross kg,434,KIRIBATI,"79,170","79,170","39,000",0,0
01,0402990003,Cream,Gross kg,484,MACAU,"79,170","79,170","39,000",0,0
01,0402990003,Cream,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","105,560","105,560","52,000",0,0
01,0402990003,Cream,Gross kg,844,QATAR,130,130,370,0,0
01,0402990003,Cream,Gross kg,892,VIETNAM,"158,340","158,340","78,000",0,0
01,0402990009,Other ,Gross kg,440,REPUBLIC OF KOREA,"7,392","7,392","6,645",0,0
01,0403102000,"- - In liquid form, whether or not condensed",Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","1,650","1,650","5,346",0,0
01,0403909001,Sour milk,Gross kg,052,BAHRAIN,"2,040","2,040","2,076",0,0
01,0403909001,Sour milk,Gross kg,444,KUWAIT,"1,360","1,360","1,384",0,0
01,0403909001,Sour milk,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","40,800","40,800","36,141",0,0
01,0403909001,Sour milk,Gross kg,844,QATAR,"12,920","12,920","13,153",0,0
01,0403909001,Sour milk,Gross kg,892,VIETNAM,"92,934","92,934","401,641",0,0
01,0405200000,-  Dairy spreads,Gross kg,444,KUWAIT,"12,962","12,962","45,226",0,0
01,0405200000,-  Dairy spreads,Gross kg,500,MALAYSIA,"5,080","5,080","17,650",0,0
01,0405909000,- - Other,Gross kg,036,AUSTRALIA,"2,428","2,428","8,482",0,0
01,0406300000,"-  Processed cheese, not grated or powdered",Gross kg,844,QATAR,156,156,509,0,0
01,0406900000,-  Other cheese,Gross kg,484,MACAU,659,659,"1,314",0,0
01,0407901000,- - Of fowls of the species Gallus domesticus ,Gross kg,868,GUAM,469,469,387,0,0
01,0407902000,- - Of ducks,Gross kg,868,GUAM,250,250,746,0,0
01,0408990000,- - Other,Gross kg,868,GUAM,531,531,439,0,0
01,0508002005,Kapiz shells,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","50,000","50,000","5,000",0,0
01,0508002029,Other,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"28,187","28,187","19,988",0,0
01,0508002029,Other,Gross kg,268,FRANCE,32,32,"2,000",0,0
01,0508002029,Other,Gross kg,412,JAPAN,25,25,878,0,0
01,0508002029,Other,Gross kg,720,SINGAPORE,101,101,"1,373",9,9
01,0508002029,Other,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","175,020","175,020","40,120",0,0
01,0508002029,Other,Gross kg,860,UNITED STATES OF AMERICA,"2,750","2,750","4,000",0,0
01,0508009009,Other,Gross kg,704,SAUDI ARABIA,350,350,"7,000",0,0
01,0508009009,Other,Gross kg,860,UNITED STATES OF AMERICA,"2,750","2,750","4,000",0,0
01,0511910009,Other,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"5,000","5,000","2,100",0,0
01,0511993000,- - - Natural sponges,Gross kg,364,"HONG KONG, CHINA","1,000","1,000","12,767",0,0
01,0511993000,- - - Natural sponges,Gross kg,412,JAPAN,6,6,525,0,0
01,0511993000,- - - Natural sponges,Gross kg,440,REPUBLIC OF KOREA,119,119,"13,527",0,0
01,0511993000,- - - Natural sponges,Gross kg,856,UK OF GREAT BRITAIN AND N. IRELAND,25,25,"1,531",0,0
01,0602902009,Other orchids,Net kg,168,TAIWAN (REP. OF CHINA),100,95,374,0,0
01,0602909019,Other ,Net kg,380,INDONESIA,"15,000","13,845","4,200",0,0
01,0602909019,Other ,Net kg,412,JAPAN,"4,800","4,430","9,216",0,0
01,0602909019,Other ,Net kg,576,NETHERLANDS,"42,600","39,321","151,584",0,0
01,0602909019,Other ,Net kg,860,UNITED STATES OF AMERICA,"4,800","4,430","9,885",0,0
01,0603900000,-  Other ,Net kg,040,AUSTRIA,200,189,383,0,0
